nombre_deportista,nombre_especialidad,nombre_torneo_peor,intento_peor,marca_peor,nombre_torneo_mejor,intento_mejor,marca_mejor
Felix KIBITOK,carrera 21000 m,Torneo de Poland,1,3826570,Torneo de Lebanon,1,3482012
Ferguson Cheruiyot ROTICH,carrera 800 m,Torneo de Virgin Islands (British),1,112019,Torneo de Netherlands,1,101918
Fernanda MARTINS,lanzamiento de disco,Torneo de Sao Tome and Principe,10,7186,Torneo de Liberia,5,7904
Fernando CARRO,carrera 3000 m con vallas,Torneo de Maldives,1,528963,Torneo de French Guiana,1,481126
Fikadu HAFTU,carrera 21000 m,Torneo de Ecuador,1,3828843,Torneo de Burkina Faso,1,3481489
Filip INGEBRIGTSEN,carrera 1500 m,Torneo de Somalia,1,229448,Torneo de Bosnia and Herzegovina,1,208778
Filip MIHALJEVIĆ,lanzamiento de bala,Torneo de Marshall Islands,8,2291,Torneo de Tonga,9,2520
Florentina Costina IUSCO,salto largo,Torneo de Cameroon,5,869,Torneo de Liechtenstein,2,956
Francine NIYONSABA,carrera 800 m,Torneo de Serbia,1,112075,Torneo de Libya,1,101892
Fred KERLEY,carrera 400 m,Torneo de Thailand,1,47776,Torneo de French Guiana,1,43470
Freddie CRITTENDEN,carrera 110 m con vallas,Torneo de Trinidad and Tobago,1,13287,Torneo de Togo,1,12105
Gabriel CONSTANTINO,carrera 110 m con vallas,Torneo de Lesotho,1,13306,Torneo de Timor-Leste,1,12098
Gabriela DEBUES-STAFFORD,carrera 1500 m,Torneo de Bolivia,1,229437,Torneo de Kuwait,1,208819
Gabriela DEBUES-STAFFORD,carrera 5000 m,Torneo de Taiwan,1,848705,Torneo de Denmark,1,773042
Galefele MOROKO,carrera 400 m,Torneo de Afghanistan,1,47776,Torneo de Czechia,1,43452
Genevieve GREGSON,carrera 3000 m con vallas,Torneo de Mexico,1,528811,Torneo de Chad,1,481076
Genzebe DIBABA,carrera 1500 m,Torneo de Zimbabwe,1,229523,Torneo de Antigua and Barbuda,1,208883
Geoffrey KAMWOROR,carrera 21000 m,Torneo de Namibia,1,3827647,Torneo de Bulgaria,1,3484230
George Meitamei MANANGOI,carrera 1500 m,Torneo de Panama,1,229624,Torneo de Albania,1,208809
Gesa Felicitas KRAUSE,carrera 3000 m con vallas,Torneo de Indonesia,1,528951,Torneo de Mauritius,1,481492
Getaneh MOLLA,carrera 42000 m,Torneo de Nigeria,1,8026049,Torneo de Bahrain,1,7303850
Gete ALEMAYEHU,carrera 10000 m,Torneo de Gabon,1,1768260,Torneo de Bahamas,1,1608532
Getnet WALE,carrera 3000 m con vallas,Torneo de Slovenia,1,528948,Torneo de Greece,1,481590
Girmawit GEBRZIHAIR,carrera 10000 m,Torneo de Serbia,1,1767096,Torneo de Paraguay,1,1608151
Gladys CHERONO,carrera 42000 m,Torneo de Panama,1,8029220,Torneo de Russia,1,7309791
Gloriah KITE,carrera 5000 m,Torneo de Serbia,1,849207,Torneo de Algeria,1,772318
Grant HOLLOWAY,carrera 110 m con vallas,Torneo de Vanuatu,1,13308,Torneo de Canada,1,12101
Gudaf TSEGAY,carrera 1500 m,Torneo de Israel,1,229566,Torneo de Morocco,1,208792
Guye Idemo ADOLA,carrera 42000 m,Torneo de Iceland,1,8027315,Torneo de Ecuador,1,7306648
Gwen BERRY,lanzamiento de martillo,Torneo de Ireland,7,8174,Torneo de Senegal,10,8979
Habitam ALEMU,carrera 800 m,Torneo de Spain,1,112017,Torneo de Haiti,1,101994
Hagos GEBRHIWET,carrera 10000 m,Torneo de Scotland,1,1767755,Torneo de Eritrea,1,1608136
Hagos GEBRHIWET,carrera 5000 m,Torneo de Sweden,1,848703,Torneo de Honduras,1,772664
Halimah NAKAAYI,carrera 800 m,Torneo de Trinidad and Tobago,1,112041,Torneo de Cambodia,1,101916
Hamish KERR,salto de altura,Torneo de Bahrain,8,237,Torneo de Scotland,2,261
Hanna GREEN,carrera 800 m,Torneo de Timor-Leste,1,112020,Torneo de Georgia,1,101928
Hanna MALYSHIK,lanzamiento de martillo,Torneo de Chile,5,8181,Torneo de Slovenia,4,8992
Hanna SKYDAN,lanzamiento de martillo,Torneo de Sudan,1,8174,Torneo de Brazil,10,8989
Haruka KITAGUCHI,lanzamiento de jabalina,Torneo de Lithuania,1,9072,Torneo de Bulgaria,6,9966
Hawi FEYSA,carrera 5000 m,Torneo de Cuba,1,848869,Torneo de Germany,1,772169
Hellen OBIRI,carrera 10000 m,Torneo de Turkey,1,1767213,Torneo de Eritrea,1,1608470
Hellen OBIRI,carrera 5000 m,Torneo de Nicaragua,1,849204,Torneo de Nepal,1,772409
Herpasa NEGASA,carrera 42000 m,Torneo de Tajikistan,1,8030853,Torneo de Eritrea,1,7304817
Hibiki TSUHA,salto largo,Torneo de Romania,1,869,Torneo de Montenegro,3,956
Hilary KPATCHA,salto largo,Torneo de Thailand,2,869,Torneo de Palau,8,956
Hillary BOR,carrera 3000 m con vallas,Torneo de Bulgaria,1,529108,Torneo de French Guiana,1,481332
Hleb DUDARAU,lanzamiento de martillo,Torneo de Comoros,6,8178,Torneo de El Salvador,9,8988
Holly BRADSHAW,salto con pertiga,Torneo de Kosovo,4,606,Torneo de Papua New Guinea,3,667
Hugues Fabrice ZANGO,salto triple,Torneo de Benin,5,1816,Torneo de Ukraine,1,1994
Huihui LYU,lanzamiento de jabalina,Torneo de Bolivia,9,9063,Torneo de Singapore,6,9959
Huiqin XU,salto con pertiga,Torneo de French Guiana,1,606,Torneo de Tunisia,4,667
Hyvin KIYENG,carrera 3000 m con vallas,Torneo de Oman,1,528800,Torneo de Kenya,1,481179
Ilya IVANYUK,salto de altura,Torneo de Sri Lanka,5,237,Torneo de Vanuatu,3,261
Iryna GERASHCHENKO,salto de altura,Torneo de Belarus,9,237,Torneo de South Africa,6,261
Iryna KLYMETS,lanzamiento de martillo,Torneo de Nicaragua,7,8185,Torneo de Kuwait,2,8992
Iryna ZHUK,salto con pertiga,Torneo de Antigua and Barbuda,4,606,Torneo de Iran,7,667
Isiah YOUNG,carrera 100 m,Torneo de Barbados,1,10728,Torneo de Macedonia,1,9769
Ivana ŠPANOVIĆ,salto largo,Torneo de Guatemala,8,869,Torneo de Panama,8,956
Ivet LALOVA-COLLIO,carrera 200 m,Torneo de Marshall Islands,1,21446,Torneo de Guinea,1,19504
Jackline WAMBUI,carrera 800 m,Torneo de Tonga,1,112071,Torneo de Bosnia and Herzegovina,1,101926
Jacko GILL,lanzamiento de bala,Torneo de Kiribati,9,2291,Torneo de Nauru,1,2516
Jacob KROP,carrera 5000 m,Torneo de Montenegro,1,848625,Torneo de Guyana,1,772722
Jake WIGHTMAN,carrera 1500 m,Torneo de Taiwan,1,229574,Torneo de Bosnia and Herzegovina,1,208828
Jakob INGEBRIGTSEN,carrera 1500 m,Torneo de Finland,1,229578,Torneo de Jamaica,1,208949
Jakob INGEBRIGTSEN,carrera 5000 m,Torneo de Colombia,1,849290,Torneo de Argentina,1,772184
Jakub VADLEJCH,lanzamiento de jabalina,Torneo de Switzerland,9,9062,Torneo de Austria,4,9967
Janeah STEWART,lanzamiento de martillo,Torneo de Hungary,2,8179,Torneo de New Zealand,10,8992
Janee KASSANAVOID,lanzamiento de martillo,Torneo de Equatorial Guinea,6,8174,Torneo de Spain,8,8992
Janeek BROWN,carrera 110 m con vallas,Torneo de Panama,1,13308,Torneo de Indonesia,1,12102
Janeek BROWN,carrera 200 m,Torneo de Australia,1,21442,Torneo de Jordan,1,19505
Janieve RUSSELL,carrera 400 m con vallas,Torneo de Marshall Islands,1,50684,Torneo de Taiwan,1,46208
Javier CIENFUEGOS,lanzamiento de martillo,Torneo de Nepal,9,8175,Torneo de Colombia,8,8991
Jeff HENDERSON,salto largo,Torneo de Iraq,1,869,Torneo de Kenya,2,956
Jemal Yimer MEKONNEN,carrera 10000 m,Torneo de El Salvador,1,1768818,Torneo de Australia,1,1610950
Jemal Yimer MEKONNEN,carrera 21000 m,Torneo de Sweden,1,3826906,Torneo de Saint Lucia,1,3484446
Jeneva STEVENS,lanzamiento de bala,Torneo de Malawi,2,2291,Torneo de Bhutan,3,2521
Jennifer SUHR,salto con pertiga,Torneo de Indonesia,2,606,Torneo de Qatar,4,667
Jenny SIMPSON,carrera 1500 m,Torneo de Barbados,1,229430,Torneo de Mali,1,208884
Jeron ROBINSON,salto de altura,Torneo de Andorra,10,237,Torneo de Uruguay,8,261
Jessica RAMSEY,lanzamiento de bala,Torneo de Micronesia,6,2292,Torneo de Egypt,10,2519
Jianan WANG,salto largo,Torneo de Marshall Islands,6,869,Torneo de Thailand,9,956
Joan Chelimo MELLY,carrera 21000 m,Torneo de Saudi Arabia,1,3824795,Torneo de Nicaragua,1,3482666
Joanna FIODOROW,lanzamiento de martillo,Torneo de Costa Rica,5,8175,Torneo de San Marino,1,8986
Joe KOVACS,lanzamiento de bala,Torneo de Canada,7,2291,Torneo de Ukraine,6,2519
Joel BADEN,salto de altura,Torneo de Luxembourg,6,237,Torneo de Zambia,3,261
Johannes VETTER,lanzamiento de jabalina,Torneo de Portugal,9,9063,Torneo de Maldives,8,9967
Jonathan JONES,carrera 400 m,Torneo de Israel,1,47794,Torneo de Papua New Guinea,1,43455
Jonathan JONES,lanzamiento de bala,Torneo de Sri Lanka,1,2293,Torneo de Zimbabwe,6,2521
Jonathan KITILIT,carrera 800 m,Torneo de Cyprus,1,112052,Torneo de Lesotho,1,101929
Jonielle SMITH,carrera 100 m,Torneo de Lesotho,1,10734,Torneo de Germany,1,9763
Jordan Alejandro DÍAZ FORTUN,salto triple,Torneo de Fiji,1,1815,Torneo de Norway,1,1996
Jordan GEIST,lanzamiento de bala,Torneo de Vanuatu,5,2291,Torneo de Mali,6,2521
Joseph Paul AMOAH,carrera 200 m,Torneo de Yemen,1,21441,Torneo de China,1,19519
Josh KERR,carrera 1500 m,Torneo de Azerbaijan,1,229632,Torneo de Costa Rica,1,208786
Joshua CHEPTEGEI,carrera 10000 m,Torneo de South Africa,1,1766586,Torneo de Thailand,1,1609174
Joshua CHEPTEGEI,carrera 5000 m,Torneo de Puerto Rico,1,848785,Torneo de Kyrgyzstan,1,772176
JuVaughn HARRISON,salto largo,Torneo de Comoros,1,869,Torneo de Nicaragua,7,956
Juan Miguel ECHEVARRÍA,salto largo,Torneo de Bhutan,3,869,Torneo de Micronesia,1,956
Julian WEBER,lanzamiento de jabalina,Torneo de Senegal,3,9061,Torneo de Oman,10,9968
Julien WANDERS,carrera 10000 m,Torneo de Panama,1,1767881,Torneo de Pakistan,1,1608920
Julien WANDERS,carrera 21000 m,Torneo de Denmark,1,3828808,Torneo de Mauritania,1,3483721
Julius YEGO,lanzamiento de jabalina,Torneo de Austria,9,9062,Torneo de United Arab Emirates,1,9968
Justin GATLIN,carrera 100 m,Torneo de Gabon,1,10736,Torneo de Liberia,1,9766
Justyna ŚWIĘTY-ERSETIC,carrera 400 m,Torneo de South Sudan,1,47768,Torneo de Argentina,1,43454
Kaan Kigen ÖZBILEN,carrera 42000 m,Torneo de North Korea,1,8028537,Torneo de San Marino,1,7303292
Kahmari MONTGOMERY,carrera 400 m,Torneo de Laos,1,47791,Torneo de Dominica,1,43461
Kamila LIĆWINKO,salto de altura,Torneo de Algeria,10,237,Torneo de Trinidad and Tobago,3,261
Kara WINGER,lanzamiento de jabalina,Torneo de Malta,7,9066,Torneo de Poland,6,9966
Karissa SCHWEIZER,carrera 5000 m,Torneo de Ireland,1,848970,Torneo de Nicaragua,1,772237
Karoline Bjerkeli GRØVDAL,carrera 3000 m con vallas,Torneo de Afghanistan,1,529133,Torneo de Ivory Coast,1,481175
Karoline Bjerkeli GRØVDAL,carrera 5000 m,Torneo de Czechia,1,849135,Torneo de Djibouti,1,772375
Karsten WARHOLM,carrera 400 m con vallas,Torneo de Ivory Coast,1,50697,Torneo de Israel,1,46102
Karyna DEMIDIK,salto de altura,Torneo de Canada,8,237,Torneo de Virgin Islands (British),2,261
Katarina JOHNSON-THOMPSON,salto de altura,Torneo de Bangladesh,8,237,Torneo de Syria,1,261
Katarina JOHNSON-THOMPSON,salto largo,Torneo de Belgium,10,869,Torneo de Singapore,7,955
Kate GRACE,carrera 800 m,Torneo de Virgin Islands (British),1,112079,Torneo de Netherlands,1,101901
Katerina STEFANIDI,salto con pertiga,Torneo de Estonia,4,606,Torneo de Romania,5,667
Katie NAGEOTTE,salto con pertiga,Torneo de Saint Kitts and Nevis,4,606,Torneo de Saudi Arabia,10,667
Kayla WHITE,carrera 100 m,Torneo de Syria,1,10732,Torneo de Algeria,1,9765
Kayla WHITE,carrera 200 m,Torneo de Russia,1,21444,Torneo de Jamaica,1,19500
Kc LIGHTFOOT,salto con pertiga,Torneo de Ghana,2,606,Torneo de Panama,4,667
Kelsey CARD,lanzamiento de disco,Torneo de Chad,4,7187,Torneo de Jordan,1,7905
Kelsey-Lee BARBER,lanzamiento de jabalina,Torneo de Netherlands,3,9066,Torneo de Mexico,7,9963
Kemar MOWATT,carrera 400 m con vallas,Torneo de Armenia,1,50687,Torneo de Bahamas,1,46099
Kendall ELLIS,carrera 400 m,Torneo de Cameroon,1,47793,Torneo de Niger,1,43454
Kendell WILLIAMS,carrera 110 m con vallas,Torneo de Palau,1,13304,Torneo de Vietnam,1,12100
Kendra HARRISON,carrera 110 m con vallas,Torneo de New Zealand,1,13308,Torneo de Eritrea,1,12100
Kenenisa BEKELE,carrera 42000 m,Torneo de Uzbekistan,1,8026649,Torneo de Mauritania,1,7309082
Kenneth BEDNAREK,carrera 200 m,Torneo de Gambia,1,21444,Torneo de Botswana,1,19514
Kenneth BEDNAREK,carrera 400 m,Torneo de Taiwan,1,47784,Torneo de Uzbekistan,1,43496
Kenyattia HACKWORTH,salto largo,Torneo de Angola,4,869,Torneo de Maldives,1,956
Keshorn WALCOTT,lanzamiento de jabalina,Torneo de Scotland,2,9061,Torneo de Marshall Islands,9,9959
Keturah ORJI,salto largo,Torneo de Bulgaria,10,870,Torneo de Monaco,7,956
Keturah ORJI,salto triple,Torneo de France,4,1814,Torneo de Gabon,10,1996
Kiara GRANT,carrera 100 m,Torneo de North Korea,1,10726,Torneo de Vatican City,1,9760
Kiara PARKER,carrera 100 m,Torneo de Monaco,1,10730,Torneo de Greece,1,9765
Kibiwott KANDIE,carrera 21000 m,Torneo de Rwanda,1,3828626,Torneo de Papua New Guinea,1,3485317
Kim AMB,lanzamiento de jabalina,Torneo de Albania,6,9061,Torneo de Palau,3,9968
Kimberly WILLIAMS,salto triple,Torneo de Tuvalu,3,1814,Torneo de Cuba,4,1996
Kinde ATANAW,carrera 42000 m,Torneo de Lithuania,1,8025039,Torneo de Guyana,1,7301386
Kirani JAMES,carrera 400 m,Torneo de Singapore,1,47772,Torneo de South Africa,1,43494
Konrad BUKOWIECKI,lanzamiento de bala,Torneo de Central African Republic,6,2292,Torneo de Uruguay,7,2521
Konstanze KLOSTERHALFEN,carrera 1500 m,Torneo de Sierra Leone,1,229463,Torneo de Burundi,1,208796
Konstanze KLOSTERHALFEN,carrera 5000 m,Torneo de Congo Democratic Republic of the,1,849050,Torneo de Cameroon,1,772460
Kori CARTER,carrera 400 m con vallas,Torneo de Philippines,1,50694,Torneo de Malawi,1,46117
Kristin GIERISCH,salto triple,Torneo de Kyrgyzstan,4,1814,Torneo de Suriname,7,1996
Kristin PUDENZ,lanzamiento de disco,Torneo de Georgia,3,7187,Torneo de Argentina,8,7905
Kurtis MARSCHALL,salto con pertiga,Torneo de Monaco,7,606,Torneo de Venezuela,5,667
Kyron MCMASTER,carrera 400 m con vallas,Torneo de Bahrain,1,50689,Torneo de Timor-Leste,1,46094
Lamecha GIRMA,carrera 3000 m con vallas,Torneo de Morocco,1,528818,Torneo de Mali,1,481078
Laulauga TAUSAGA,lanzamiento de disco,Torneo de Suriname,3,7187,Torneo de Yemen,6,7904
Laura IGAUNE,lanzamiento de martillo,Torneo de Ivory Coast,2,8175,Torneo de Iraq,10,8990
Laura MUIR,carrera 1500 m,Torneo de Liechtenstein,1,229591,Torneo de Italy,1,209050
Laura MUIR,carrera 800 m,Torneo de Pakistan,1,112043,Torneo de Malawi,1,101895
Laura WEIGHTMAN,carrera 1500 m,Torneo de Chile,1,229613,Torneo de Mongolia,1,208792
Laura WEIGHTMAN,carrera 5000 m,Torneo de Mexico,1,848834,Torneo de Grenada,1,772743
Lauren WELLS,carrera 400 m con vallas,Torneo de Comoros,1,50698,Torneo de Bolivia,1,46100
Laviai NIELSEN,carrera 400 m,Torneo de New Zealand,1,47793,Torneo de Kenya,1,43466
Lawrence Kemboi KIPSANG,carrera 3000 m con vallas,Torneo de Benin,1,528660,Torneo de Mauritania,1,481452
Lea SPRUNGER,carrera 400 m con vallas,Torneo de Syria,1,50701,Torneo de Tajikistan,1,46143
Leonard BARSOTON,carrera 21000 m,Torneo de Guatemala,1,3827516,Torneo de Papua New Guinea,1,3484102
Leonard Kipkemoi BETT,carrera 3000 m con vallas,Torneo de Namibia,1,528870,Torneo de Costa Rica,1,481113
Leonard LANGAT,carrera 21000 m,Torneo de Zimbabwe,1,3827462,Torneo de Greece,1,3481507
Letesenbet GIDEY,carrera 10000 m,Torneo de Lebanon,1,1768785,Torneo de Liberia,1,1608326
Letesenbet GIDEY,carrera 5000 m,Torneo de Australia,1,849287,Torneo de Algeria,1,772303
Liadagmis POVEA,salto triple,Torneo de Niger,3,1815,Torneo de Cabo Verde,7,1996
Lijiao GONG,lanzamiento de bala,Torneo de Saint Lucia,8,2291,Torneo de Czechia,4,2521
Lilian Kasait RENGERUK,carrera 5000 m,Torneo de Timor-Leste,1,849044,Torneo de Maldives,1,773421
Lina MUZE,lanzamiento de jabalina,Torneo de Burkina Faso,8,9072,Torneo de Albania,3,9963
Lindsay HANEKOM,carrera 400 m con vallas,Torneo de Jordan,1,50699,Torneo de Sudan,1,46092
Ling LI,salto con pertiga,Torneo de Ghana,2,606,Torneo de Zambia,7,667
Liveta JASIŪNAITĖ,lanzamiento de jabalina,Torneo de Morocco,9,9064,Torneo de Cabo Verde,2,9964
Lois Maikel MARTÍNEZ,lanzamiento de disco,Torneo de Hungary,6,7187,Torneo de Ecuador,6,7902
Lonah Chemtai SALPETER,carrera 21000 m,Torneo de Moldova,1,3826972,Torneo de Russia,1,3481643
Lonah Chemtai SALPETER,carrera 42000 m,Torneo de Haiti,1,8030831,Torneo de Zimbabwe,1,7310801
Lopez LOMONG,carrera 10000 m,Torneo de Maldives,1,1768421,Torneo de Bhutan,1,1608036
Lopez LOMONG,carrera 5000 m,Torneo de Norway,1,849264,Torneo de Nigeria,1,772331
Ludvy VAILLANT,carrera 400 m con vallas,Torneo de Gambia,1,50697,Torneo de Vietnam,1,46118
Luis Enrique ZAYAS,salto de altura,Torneo de Benin,9,237,Torneo de Uruguay,10,261
Luiza GEGA,carrera 3000 m con vallas,Torneo de South Sudan,1,528861,Torneo de Sierra Leone,1,481224
Lukas WEISSHAIDINGER,lanzamiento de disco,Torneo de Marshall Islands,5,7188,Torneo de Ivory Coast,10,7894
Luvo MANYONGA,salto largo,Torneo de Bahrain,1,869,Torneo de United Arab Emirates,9,956
Lynsey SHARP,carrera 800 m,Torneo de Angola,1,112022,Torneo de Monaco,1,101904
Machel CEDENIO,carrera 400 m,Torneo de Chad,1,47774,Torneo de Comoros,1,43473
Maggie EWEN,lanzamiento de bala,Torneo de Slovenia,9,2293,Torneo de Oman,5,2521
Maggie EWEN,lanzamiento de martillo,Torneo de Guinea,3,8174,Torneo de Panama,10,8985
Magnus KIRT,lanzamiento de jabalina,Torneo de Nigeria,2,9065,Torneo de Finland,10,9958
Majd Eddin GHAZAL,salto de altura,Torneo de Antigua and Barbuda,7,237,Torneo de United States,5,261
Maksim NEDASEKAU,salto de altura,Torneo de Argentina,3,237,Torneo de Marshall Islands,3,261
Malaika MIHAMBO,salto largo,Torneo de Zimbabwe,9,869,Torneo de Mauritania,5,956
Malwina KOPRON,lanzamiento de martillo,Torneo de Mongolia,2,8175,Torneo de Papua New Guinea,10,8992
Manqi GE,carrera 100 m,Torneo de Guyana,1,10736,Torneo de Guinea-Bissau,1,9761
Marcel LOMNICKÝ,lanzamiento de martillo,Torneo de Georgia,8,8174,Torneo de Sri Lanka,7,8989
Marcin KRUKOWSKI,lanzamiento de jabalina,Torneo de Bangladesh,1,9064,Torneo de New Zealand,3,9968
Marcin LEWANDOWSKI,carrera 1500 m,Torneo de Brazil,1,229592,Torneo de Norway,1,208843
Marcin LEWANDOWSKI,carrera 800 m,Torneo de Bahamas,1,112033,Torneo de Zambia,1,101921
Marcio TELES,carrera 400 m con vallas,Torneo de United States,1,50693,Torneo de Jamaica,1,46151
Marco AROP,carrera 800 m,Torneo de Zimbabwe,1,112075,Torneo de Central African Republic,1,101895
Mare DIBABA,carrera 42000 m,Torneo de Grenada,1,8025541,Torneo de Mozambique,1,7302469
Margaret Chelimo KIPKEMBOI,carrera 5000 m,Torneo de Algeria,1,849119,Torneo de Ukraine,1,772274
Maria ANDREJCZYK,lanzamiento de jabalina,Torneo de Gambia,2,9062,Torneo de Austria,9,9967
Marie-Josée TA LOU,carrera 100 m,Torneo de Mexico,1,10732,Torneo de Latvia,1,9760
Marie-Josée TA LOU,carrera 200 m,Torneo de Mauritius,1,21420,Torneo de Sudan,1,19501
Marie-Laurence JUNGFLEISCH,salto de altura,Torneo de Chile,7,237,Torneo de Italy,7,261
Marielle HALL,carrera 10000 m,Torneo de Azerbaijan,1,1766456,Torneo de Switzerland,1,1608971
Marike STEINACKER,lanzamiento de disco,Torneo de Indonesia,10,7192,Torneo de Sweden,4,7892
Mario BURKE,carrera 100 m,Torneo de Belize,1,10733,Torneo de San Marino,1,9760
Mario BURKE,carrera 200 m,Torneo de Yemen,1,21448,Torneo de South Sudan,1,19500
Marius KIPSEREM,carrera 42000 m,Torneo de Afghanistan,1,8026004,Torneo de Uzbekistan,1,7307460
Mariya LASITSKENE,salto de altura,Torneo de Kiribati,1,237,Torneo de Virgin Islands (British),3,261
Martin WIERIG,lanzamiento de disco,Torneo de Albania,5,7187,Torneo de Sri Lanka,1,7899
Martina RATEJ,lanzamiento de jabalina,Torneo de Georgia,1,9067,Torneo de Antigua and Barbuda,5,9968
Maruša MIŠMAŠ,carrera 3000 m con vallas,Torneo de Laos,1,529081,Torneo de Libya,1,481151
Maryna BEKH-ROMANCHUK,salto largo,Torneo de Estonia,3,869,Torneo de Sudan,1,956
María Fernanda MURILLO,salto de altura,Torneo de Benin,4,237,Torneo de Turkey,5,261
Mason FINLEY,lanzamiento de disco,Torneo de Chile,2,7186,Torneo de Somalia,4,7901
Mateusz PRZYBYLKO,salto de altura,Torneo de Macedonia,5,237,Torneo de Uganda,10,261
Matthew CENTROWITZ,carrera 1500 m,Torneo de Saint Kitts and Nevis,1,229629,Torneo de Niger,1,208772
Matthew CENTROWITZ,carrera 5000 m,Torneo de Grenada,1,849217,Torneo de Nicaragua,1,772861
Matthew HUGHES,carrera 3000 m con vallas,Torneo de Mali,1,529132,Torneo de Germany,1,481095
Maykel MASSÓ,salto largo,Torneo de Gabon,7,869,Torneo de Saint Vincent and the Grenadines,5,956
Megan TAPPER,carrera 110 m con vallas,Torneo de Wales,1,13302,Torneo de Saint Lucia,1,12115
Mekides ABEBE,carrera 3000 m con vallas,Torneo de Bolivia,1,529087,Torneo de Saint Vincent and the Grenadines,1,481379
Mercy CHEPKURUI,carrera 3000 m con vallas,Torneo de Japan,1,528670,Torneo de Mongolia,1,481081
Mercy WANJIRU,carrera 3000 m con vallas,Torneo de Colombia,1,529071,Torneo de Marshall Islands,1,481184
Mesud PEZER,lanzamiento de bala,Torneo de India,5,2291,Torneo de Zambia,6,2521
Michael CHERRY,carrera 400 m,Torneo de Congo Republic of the,1,47788,Torneo de Equatorial Guinea,1,43454
Michael MASON,salto de altura,Torneo de Botswana,8,237,Torneo de Vietnam,3,261
Michael NORMAN,carrera 200 m,Torneo de Jamaica,1,21448,Torneo de Finland,1,19521
Michael NORMAN,carrera 400 m,Torneo de Jamaica,1,47793,Torneo de India,1,43455
Michael RODGERS,carrera 100 m,Torneo de Uruguay,1,10733,Torneo de Lebanon,1,9760
Michael SARUNI,carrera 800 m,Torneo de Namibia,1,111973,Torneo de Somalia,1,101921
Michaela MEIJER,salto con pertiga,Torneo de Equatorial Guinea,4,606,Torneo de Myanmar,10,667
Michał HARATYK,lanzamiento de bala,Torneo de Myanmar,3,2293,Torneo de Jamaica,2,2521
Michelle CARTER,lanzamiento de bala,Torneo de Maldives,5,2291,Torneo de Pakistan,10,2521
Miguel FRANCIS,carrera 200 m,Torneo de Mexico,1,21438,Torneo de Tonga,1,19507
Mikhail AKIMENKO,salto de altura,Torneo de Albania,7,237,Torneo de Scotland,4,261
Milan TRAJKOVIC,carrera 110 m con vallas,Torneo de Kosovo,1,13301,Torneo de Namibia,1,12106
Miltiadis TENTOGLOU,salto largo,Torneo de Brunei,4,869,Torneo de United Arab Emirates,9,956
Mirela DEMIREVA,salto de altura,Torneo de Bangladesh,9,237,Torneo de Yemen,1,261
Mogos TUEMAY,carrera 10000 m,Torneo de Kiribati,1,1768816,Torneo de Mexico,1,1611081
Mohamed TINDOUFT,carrera 3000 m con vallas,Torneo de Suriname,1,528938,Torneo de Kyrgyzstan,1,481061
Mohammed AHMED,carrera 10000 m,Torneo de Central African Republic,1,1768340,Torneo de Cambodia,1,1608242
Mohammed AHMED,carrera 5000 m,Torneo de Fiji,1,847578,Torneo de Kosovo,1,772524
Molly HUDDLE,carrera 10000 m,Torneo de Micronesia,1,1768204,Torneo de Bhutan,1,1608385
Morris Munene GACHAGA,carrera 21000 m,Torneo de Brazil,1,3827379,Torneo de Japan,1,3481732
Mosinet GEREMEW,carrera 42000 m,Torneo de Uzbekistan,1,8024575,Torneo de Mongolia,1,7308190
Mujinga KAMBUNDJI,carrera 100 m,Torneo de Iraq,1,10732,Torneo de Northern Ireland,1,9764
Mujinga KAMBUNDJI,carrera 200 m,Torneo de Japan,1,21448,Torneo de Belize,1,19515
Muktar EDRIS,carrera 5000 m,Torneo de Estonia,1,849223,Torneo de Angola,1,773126
Mule WASIHUN,carrera 42000 m,Torneo de Cambodia,1,8026576,Torneo de Sierra Leone,1,7303410
Murielle AHOURÉ,carrera 100 m,Torneo de Sao Tome and Principe,1,10736,Torneo de United States,1,9760
Mutaz Essa BARSHIM,salto de altura,Torneo de Bolivia,1,237,Torneo de Trinidad and Tobago,6,261
Mykhaylo KOKHAN,lanzamiento de martillo,Torneo de Montenegro,2,8178,Torneo de Germany,10,8975
Mélina ROBERT-MICHON,lanzamiento de disco,Torneo de Russia,1,7186,Torneo de Guatemala,2,7903
Na LUO,lanzamiento de martillo,Torneo de China,6,8180,Torneo de Bahamas,1,8990
Naa ANANG,salto largo,Torneo de Ivory Coast,1,869,Torneo de Virgin Islands (British),3,956
Nadia EKE,salto triple,Torneo de Guyana,3,1814,Torneo de Bhutan,8,1996
Nadine MÜLLER,lanzamiento de disco,Torneo de Turkmenistan,8,7187,Torneo de Albania,6,7903
Nadine VISSER,carrera 110 m con vallas,Torneo de Venezuela,1,13307,Torneo de Saudi Arabia,1,12100
Nafissatou THIAM,salto de altura,Torneo de Bulgaria,8,237,Torneo de Vanuatu,2,261
Nafissatou THIAM,salto largo,Torneo de Barbados,1,869,Torneo de Angola,7,956
Natalya PRYSHCHEPA,carrera 800 m,Torneo de Tuvalu,1,111904,Torneo de Bhutan,1,101893
Nathan STROTHER,carrera 400 m,Torneo de Equatorial Guinea,1,47750,Torneo de Burkina Faso,1,43463
Natoya GOULE,carrera 800 m,Torneo de Liberia,1,112077,Torneo de Monaco,1,101894
Necatí ER,salto triple,Torneo de Philippines,10,1814,Torneo de Tunisia,9,1996
