nombre_deportista,nombre_especialidad,mejor_marca,intento,nombre_torneo
Chanel BRISSETT,carrera 110 m con vallas,13303,1,Torneo de Samoa
Colleen QUIGLEY,carrera 3000 m con vallas,481375,1,Torneo de Madagascar
Colleen QUIGLEY,carrera 3000 m con vallas,529033,1,Torneo de Botswana
Caroline Chepkoech KIPKIRUI,carrera 5000 m,772171,1,Torneo de Myanmar
Caroline Chepkoech KIPKIRUI,carrera 5000 m,849044,1,Torneo de Pakistan
Degitu AZIMERAW,carrera 21000 m,3482276,1,Torneo de Belarus
Degitu AZIMERAW,carrera 21000 m,3825488,1,Torneo de Malawi
Laura WEIGHTMAN,carrera 5000 m,772743,1,Torneo de Grenada
Laura WEIGHTMAN,carrera 5000 m,848834,1,Torneo de Mexico
Nathan STROTHER,carrera 400 m,43463,1,Torneo de Burkina Faso
Nathan STROTHER,carrera 400 m,47750,1,Torneo de Equatorial Guinea
Roberto SKYERS,carrera 100 m,9766,1,Torneo de Cyprus
Roberto SKYERS,carrera 100 m,10726,1,Torneo de Morocco
Andamlak BELIHU,carrera 10000 m,1608408,1,Torneo de Mexico
Andamlak BELIHU,carrera 10000 m,1767554,1,Torneo de New Zealand
Wenjun XIE,carrera 110 m con vallas,12098,1,Torneo de Canada
Wenjun XIE,carrera 110 m con vallas,13308,1,Torneo de Belarus
Brianna MCNEAL,carrera 110 m con vallas,12109,1,Torneo de Iraq
Brianna MCNEAL,carrera 110 m con vallas,13293,1,Torneo de Afghanistan
Valary JEMELI,carrera 42000 m,7303454,1,Torneo de Paraguay
Valary JEMELI,carrera 42000 m,8026066,1,Torneo de Cyprus
Bethwell BIRGEN,carrera 1500 m,208797,1,Torneo de United States
Bethwell BIRGEN,carrera 1500 m,229496,1,Torneo de Argentina
Matthew CENTROWITZ,carrera 5000 m,772861,1,Torneo de Nicaragua
Matthew CENTROWITZ,carrera 5000 m,849217,1,Torneo de Grenada
Solomon BERIHU,carrera 5000 m,772147,1,Torneo de Saint Vincent and the Grenadines
Solomon BERIHU,carrera 5000 m,848824,1,Torneo de Azerbaijan
Zhenye XIE,carrera 200 m,19502,1,Torneo de Kyrgyzstan
Zhenye XIE,carrera 200 m,21430,1,Torneo de Ecuador
Karissa SCHWEIZER,carrera 5000 m,772237,1,Torneo de Nicaragua
Karissa SCHWEIZER,carrera 5000 m,848970,1,Torneo de Ireland
Quincy HALL,carrera 400 m con vallas,46127,1,Torneo de Maldives
Quincy HALL,carrera 400 m con vallas,50664,1,Torneo de Zimbabwe
Adam GEMILI,carrera 200 m,19509,1,Torneo de Monaco
Adam GEMILI,carrera 200 m,21406,1,Torneo de Congo Republic of the
Shunya TAKAYAMA,carrera 110 m con vallas,12102,1,Torneo de Laos
Shunya TAKAYAMA,carrera 110 m con vallas,13308,1,Torneo de Bosnia and Herzegovina
Girmawit GEBRZIHAIR,carrera 10000 m,1608151,1,Torneo de Paraguay
Girmawit GEBRZIHAIR,carrera 10000 m,1767096,1,Torneo de Serbia
Tonea MARSHALL,carrera 110 m con vallas,12100,1,Torneo de Papua New Guinea
Tonea MARSHALL,carrera 110 m con vallas,13286,1,Torneo de Georgia
Kyron MCMASTER,carrera 400 m con vallas,46094,1,Torneo de Timor-Leste
Kyron MCMASTER,carrera 400 m con vallas,50689,1,Torneo de Bahrain
Cambrea STURGIS,carrera 200 m,19506,1,Torneo de Algeria
Cambrea STURGIS,carrera 200 m,21436,1,Torneo de Albania
Kenenisa BEKELE,carrera 42000 m,7309082,1,Torneo de Mauritania
Kenenisa BEKELE,carrera 42000 m,8026649,1,Torneo de Uzbekistan
Ruti AGA,carrera 42000 m,7301667,1,Torneo de Turkey
Ruti AGA,carrera 42000 m,8030158,1,Torneo de Japan
Sisay LEMMA,carrera 42000 m,7309275,1,Torneo de Peru
Sisay LEMMA,carrera 42000 m,8023521,1,Torneo de Kiribati
Letesenbet GIDEY,carrera 10000 m,1608326,1,Torneo de Liberia
Letesenbet GIDEY,carrera 10000 m,1768785,1,Torneo de Lebanon
Andre DE GRASSE,carrera 200 m,19508,1,Torneo de Kenya
Andre DE GRASSE,carrera 200 m,21450,1,Torneo de Brunei
Anglerne ANNELUS,carrera 200 m,19506,1,Torneo de Nepal
Anglerne ANNELUS,carrera 200 m,21433,1,Torneo de Dominican Republic
Jackline WAMBUI,carrera 800 m,101926,1,Torneo de Bosnia and Herzegovina
Jackline WAMBUI,carrera 800 m,112071,1,Torneo de Tonga
Kate GRACE,carrera 800 m,101901,1,Torneo de Netherlands
Kate GRACE,carrera 800 m,112079,1,Torneo de Virgin Islands (British)
Taoufik MAKHLOUFI,carrera 1500 m,208784,1,Torneo de Dominican Republic
Taoufik MAKHLOUFI,carrera 1500 m,229586,1,Torneo de Guatemala
Zurian HECHAVARRÍA,carrera 400 m con vallas,46103,1,Torneo de Dominica
Zurian HECHAVARRÍA,carrera 400 m con vallas,50685,1,Torneo de Jamaica
Timothy CHERUIYOT,carrera 1500 m,208800,1,Torneo de Benin
Timothy CHERUIYOT,carrera 1500 m,229619,1,Torneo de Denmark
Mujinga KAMBUNDJI,carrera 100 m,9764,1,Torneo de Northern Ireland
Mujinga KAMBUNDJI,carrera 100 m,10732,1,Torneo de Iraq
Jakob INGEBRIGTSEN,carrera 1500 m,208949,1,Torneo de Jamaica
Jakob INGEBRIGTSEN,carrera 1500 m,229578,1,Torneo de Finland
Birhanu BALEW,carrera 5000 m,772110,1,Torneo de Ecuador
Birhanu BALEW,carrera 5000 m,849170,1,Torneo de Fiji
Edward CHESEREK,carrera 5000 m,772938,1,Torneo de Vietnam
Edward CHESEREK,carrera 5000 m,849067,1,Torneo de Benin
Ronald KWEMOI,carrera 1500 m,209025,1,Torneo de Denmark
Ronald KWEMOI,carrera 1500 m,229584,1,Torneo de Qatar
Solomon BERIHU,carrera 10000 m,1608510,1,Torneo de Chile
Solomon BERIHU,carrera 10000 m,1768122,1,Torneo de South Korea
Jemal Yimer MEKONNEN,carrera 10000 m,1610950,1,Torneo de Australia
Jemal Yimer MEKONNEN,carrera 10000 m,1768818,1,Torneo de El Salvador
Mercy CHEPKURUI,carrera 3000 m con vallas,481081,1,Torneo de Mongolia
Mercy CHEPKURUI,carrera 3000 m con vallas,528670,1,Torneo de Japan
Cornelius TUWEI,carrera 800 m,102008,1,Torneo de San Marino
Cornelius TUWEI,carrera 800 m,112055,1,Torneo de Rwanda
Kaan Kigen ÖZBILEN,carrera 42000 m,7303292,1,Torneo de San Marino
Kaan Kigen ÖZBILEN,carrera 42000 m,8028537,1,Torneo de North Korea
Hawi FEYSA,carrera 5000 m,772169,1,Torneo de Germany
Hawi FEYSA,carrera 5000 m,848869,1,Torneo de Cuba
Stanley Kipkoech KEBENEI,carrera 3000 m con vallas,481207,1,Torneo de Ghana
Stanley Kipkoech KEBENEI,carrera 3000 m con vallas,529060,1,Torneo de Vatican City
Yasmani COPELLO,carrera 400 m con vallas,46120,1,Torneo de United Arab Emirates
Yasmani COPELLO,carrera 400 m con vallas,50698,1,Torneo de Georgia
Habitam ALEMU,carrera 800 m,101994,1,Torneo de Haiti
Habitam ALEMU,carrera 800 m,112017,1,Torneo de Spain
Divine ODUDURU,carrera 200 m,19503,1,Torneo de Tonga
Divine ODUDURU,carrera 200 m,21449,1,Torneo de El Salvador
Norah JERUTO,carrera 3000 m con vallas,481044,1,Torneo de Honduras
Norah JERUTO,carrera 3000 m con vallas,529121,1,Torneo de Costa Rica
Machel CEDENIO,carrera 400 m,43473,1,Torneo de Comoros
Machel CEDENIO,carrera 400 m,47774,1,Torneo de Chad
Lonah Chemtai SALPETER,carrera 21000 m,3481643,1,Torneo de Russia
Lonah Chemtai SALPETER,carrera 21000 m,3826972,1,Torneo de Moldova
Zharnel HUGHES,carrera 100 m,9766,1,Torneo de Sri Lanka
Zharnel HUGHES,carrera 100 m,10734,1,Torneo de Morocco
Anastasia LE-ROY,carrera 400 m,43462,1,Torneo de Monaco
Anastasia LE-ROY,carrera 400 m,47792,1,Torneo de Czechia
Christian COLEMAN,carrera 200 m,19505,1,Torneo de South Africa
Christian COLEMAN,carrera 200 m,21449,1,Torneo de North Korea
Christina CLEMONS,carrera 110 m con vallas,12103,1,Torneo de France
Christina CLEMONS,carrera 110 m con vallas,13302,1,Torneo de Uganda
Abadi HADIS,carrera 21000 m,3481565,1,Torneo de Kazakhstan
Abadi HADIS,carrera 21000 m,3828537,1,Torneo de Moldova
Mario BURKE,carrera 200 m,19500,1,Torneo de South Sudan
Mario BURKE,carrera 200 m,21448,1,Torneo de Yemen
Michael NORMAN,carrera 400 m,43455,1,Torneo de India
Michael NORMAN,carrera 400 m,47793,1,Torneo de Jamaica
Abdul Hakim SANI BROWN,carrera 200 m,19515,1,Torneo de United Arab Emirates
Abdul Hakim SANI BROWN,carrera 200 m,21450,1,Torneo de Sweden
Albert CHEMUTAI,carrera 3000 m con vallas,481195,1,Torneo de Armenia
Albert CHEMUTAI,carrera 3000 m con vallas,529086,1,Torneo de Ukraine
Susan KRUMINS,carrera 10000 m,1609056,1,Torneo de Monaco
Susan KRUMINS,carrera 10000 m,1768428,1,Torneo de Uzbekistan
Marcin LEWANDOWSKI,carrera 1500 m,208843,1,Torneo de Norway
Marcin LEWANDOWSKI,carrera 1500 m,229592,1,Torneo de Brazil
Vivian J. CHERUIYOT,carrera 42000 m,7308210,1,Torneo de Equatorial Guinea
Vivian J. CHERUIYOT,carrera 42000 m,8028981,1,Torneo de Northern Ireland
Dawit SEYAUM,carrera 1500 m,208772,1,Torneo de Oman
Dawit SEYAUM,carrera 1500 m,229624,1,Torneo de Equatorial Guinea
Celliphine Chepteek CHESPOL,carrera 3000 m con vallas,481266,1,Torneo de Denmark
Celliphine Chepteek CHESPOL,carrera 3000 m con vallas,529006,1,Torneo de Ghana
Aaron BROWN,carrera 100 m,9764,1,Torneo de Jordan
Aaron BROWN,carrera 100 m,10726,1,Torneo de Micronesia
Kahmari MONTGOMERY,carrera 400 m,43461,1,Torneo de Dominica
Kahmari MONTGOMERY,carrera 400 m,47791,1,Torneo de Laos
Tobi AMUSAN,carrera 110 m con vallas,12099,1,Torneo de Italy
Tobi AMUSAN,carrera 110 m con vallas,13305,1,Torneo de Wales
Ajee WILSON,carrera 800 m,101983,1,Torneo de Angola
Ajee WILSON,carrera 800 m,112078,1,Torneo de Japan
Ashley SPENCER,carrera 400 m con vallas,46092,1,Torneo de France
Ashley SPENCER,carrera 400 m con vallas,50674,1,Torneo de Iraq
Karoline Bjerkeli GRØVDAL,carrera 3000 m con vallas,481175,1,Torneo de Ivory Coast
Karoline Bjerkeli GRØVDAL,carrera 3000 m con vallas,529133,1,Torneo de Afghanistan
Rabii DOUKKANA,carrera 1500 m,208801,1,Torneo de Vietnam
Rabii DOUKKANA,carrera 1500 m,229628,1,Torneo de Kiribati
Clayton MURPHY,carrera 800 m,101925,1,Torneo de Monaco
Clayton MURPHY,carrera 800 m,112059,1,Torneo de Nicaragua
Gete ALEMAYEHU,carrera 10000 m,1608532,1,Torneo de Bahamas
Gete ALEMAYEHU,carrera 10000 m,1768260,1,Torneo de Gabon
Sifan HASSAN,carrera 21000 m,3482679,1,Torneo de Gambia
Sifan HASSAN,carrera 21000 m,3826790,1,Torneo de Saint Lucia
Lauren WELLS,carrera 400 m con vallas,46100,1,Torneo de Bolivia
Lauren WELLS,carrera 400 m con vallas,50698,1,Torneo de Comoros
Getnet WALE,carrera 3000 m con vallas,481590,1,Torneo de Greece
Getnet WALE,carrera 3000 m con vallas,528948,1,Torneo de Slovenia
Tsehay GEMECHU,carrera 21000 m,3481952,1,Torneo de Cambodia
Tsehay GEMECHU,carrera 21000 m,3828843,1,Torneo de Monaco
Pascal MARTINOT-LAGARDE,carrera 110 m con vallas,12119,1,Torneo de Netherlands
Pascal MARTINOT-LAGARDE,carrera 110 m con vallas,13308,1,Torneo de South Africa
Wyclife KINYAMAL,carrera 800 m,101920,1,Torneo de Vanuatu
Wyclife KINYAMAL,carrera 800 m,111991,1,Torneo de Cuba
Andrew RILEY,carrera 110 m con vallas,12100,1,Torneo de Dominica
Andrew RILEY,carrera 110 m con vallas,13304,1,Torneo de Ecuador
Beth DOBBIN,carrera 200 m,19502,1,Torneo de Saint Kitts and Nevis
Beth DOBBIN,carrera 200 m,21429,1,Torneo de Ethiopia
Stanley Waithaka MBURU,carrera 5000 m,772521,1,Torneo de Iceland
Stanley Waithaka MBURU,carrera 5000 m,849028,1,Torneo de Colombia
Shaunae MILLER-UIBO,carrera 200 m,19501,1,Torneo de Denmark
Shaunae MILLER-UIBO,carrera 200 m,21423,1,Torneo de Rwanda
Guye Idemo ADOLA,carrera 42000 m,7306648,1,Torneo de Ecuador
Guye Idemo ADOLA,carrera 42000 m,8027315,1,Torneo de Iceland
Zeineba YIMER,carrera 10000 m,1610215,1,Torneo de Australia
Zeineba YIMER,carrera 10000 m,1768287,1,Torneo de Sri Lanka
Mogos TUEMAY,carrera 10000 m,1611081,1,Torneo de Mexico
Mogos TUEMAY,carrera 10000 m,1768816,1,Torneo de Kiribati
Brittany BROWN,carrera 200 m,19508,1,Torneo de Tonga
Brittany BROWN,carrera 200 m,21446,1,Torneo de Costa Rica
Orlando BENNETT,carrera 110 m con vallas,12099,1,Torneo de Micronesia
Orlando BENNETT,carrera 110 m con vallas,13307,1,Torneo de Tunisia
Marco AROP,carrera 800 m,101895,1,Torneo de Central African Republic
Marco AROP,carrera 800 m,112075,1,Torneo de Zimbabwe
Worknesh DEGEFA,carrera 42000 m,7313334,1,Torneo de Mauritania
Worknesh DEGEFA,carrera 42000 m,8030444,1,Torneo de Laos
Anna Emilie MØLLER,carrera 3000 m con vallas,481045,1,Torneo de Barbados
Anna Emilie MØLLER,carrera 3000 m con vallas,528968,1,Torneo de Congo Republic of the
Caster SEMENYA,carrera 800 m,102076,1,Torneo de Iran
Caster SEMENYA,carrera 800 m,112072,1,Torneo de Costa Rica
Aaron BROWN,carrera 200 m,19503,1,Torneo de Greece
Aaron BROWN,carrera 200 m,21448,1,Torneo de Morocco
Abebe Negewo DEGEFA,carrera 42000 m,7311718,1,Torneo de Congo Republic of the
Abebe Negewo DEGEFA,carrera 42000 m,8030767,1,Torneo de Andorra
Manqi GE,carrera 100 m,9761,1,Torneo de Guinea-Bissau
Manqi GE,carrera 100 m,10736,1,Torneo de Guyana
Tyquendo TRACEY,carrera 100 m,9770,1,Torneo de Denmark
Tyquendo TRACEY,carrera 100 m,10733,1,Torneo de Eritrea
Margaret Chelimo KIPKEMBOI,carrera 5000 m,772274,1,Torneo de Ukraine
Margaret Chelimo KIPKEMBOI,carrera 5000 m,849119,1,Torneo de Algeria
Letesenbet GIDEY,carrera 5000 m,772303,1,Torneo de Algeria
Letesenbet GIDEY,carrera 5000 m,849287,1,Torneo de Australia
Christian COLEMAN,carrera 100 m,9762,1,Torneo de Philippines
Christian COLEMAN,carrera 100 m,10726,1,Torneo de Latvia
Patryk DOBEK,carrera 400 m con vallas,46106,1,Torneo de Kazakhstan
Patryk DOBEK,carrera 400 m con vallas,50679,1,Torneo de Bahrain
Amalie IUEL,carrera 400 m con vallas,46104,1,Torneo de Serbia
Amalie IUEL,carrera 400 m con vallas,50693,1,Torneo de Germany
Alex WILSON,carrera 200 m,19515,1,Torneo de Venezuela
Alex WILSON,carrera 200 m,21422,1,Torneo de Jamaica
Kiara GRANT,carrera 100 m,9760,1,Torneo de Vatican City
Kiara GRANT,carrera 100 m,10726,1,Torneo de North Korea
Brigid KOSGEI,carrera 21000 m,3482843,1,Torneo de Vatican City
Brigid KOSGEI,carrera 21000 m,3828074,1,Torneo de Northern Ireland
Shelly-Ann FRASER-PRYCE,carrera 100 m,9764,1,Torneo de Sri Lanka
Shelly-Ann FRASER-PRYCE,carrera 100 m,10735,1,Torneo de Panama
Hellen OBIRI,carrera 10000 m,1608470,1,Torneo de Eritrea
Hellen OBIRI,carrera 10000 m,1767213,1,Torneo de Turkey
Akani SIMBINE,carrera 100 m,9765,1,Torneo de Palau
Akani SIMBINE,carrera 100 m,10736,1,Torneo de Mali
Briana WILLIAMS,carrera 100 m,9762,1,Torneo de Qatar
Briana WILLIAMS,carrera 100 m,10736,1,Torneo de United Arab Emirates
Yohan BLAKE,carrera 100 m,9761,1,Torneo de United States
Yohan BLAKE,carrera 100 m,10733,1,Torneo de Virgin Islands (British)
Emma COBURN,carrera 3000 m con vallas,481064,1,Torneo de Saint Lucia
Emma COBURN,carrera 3000 m con vallas,528477,1,Torneo de Vietnam
Leonard LANGAT,carrera 21000 m,3481507,1,Torneo de Greece
Leonard LANGAT,carrera 21000 m,3827462,1,Torneo de Zimbabwe
Bedan KAROKI,carrera 21000 m,3483548,1,Torneo de Suriname
Bedan KAROKI,carrera 21000 m,3827918,1,Torneo de Rwanda
Peruth CHEMUTAI,carrera 3000 m con vallas,481272,1,Torneo de Tunisia
Peruth CHEMUTAI,carrera 3000 m con vallas,529080,1,Torneo de Sweden
Jonathan KITILIT,carrera 800 m,101929,1,Torneo de Lesotho
Jonathan KITILIT,carrera 800 m,112052,1,Torneo de Cyprus
Shelly-Ann FRASER-PRYCE,carrera 200 m,19509,1,Torneo de Kuwait
Shelly-Ann FRASER-PRYCE,carrera 200 m,21440,1,Torneo de Italy
Elaine THOMPSON,carrera 100 m,9761,1,Torneo de Puerto Rico
Elaine THOMPSON,carrera 100 m,10732,1,Torneo de Monaco
Sergey SHUBENKOV,carrera 110 m con vallas,12113,1,Torneo de Cuba
Sergey SHUBENKOV,carrera 110 m con vallas,13308,1,Torneo de Mauritius
Evaline CHIRCHIR,carrera 21000 m,3481005,1,Torneo de Luxembourg
Evaline CHIRCHIR,carrera 21000 m,3823854,1,Torneo de Serbia
Fikadu HAFTU,carrera 21000 m,3481489,1,Torneo de Burkina Faso
Fikadu HAFTU,carrera 21000 m,3828843,1,Torneo de Ecuador
Ronald MUSAGALA,carrera 1500 m,208813,1,Torneo de Sierra Leone
Ronald MUSAGALA,carrera 1500 m,229579,1,Torneo de Suriname
Ayanleh SOULEIMAN,carrera 1500 m,208842,1,Torneo de Mongolia
Ayanleh SOULEIMAN,carrera 1500 m,229580,1,Torneo de Armenia
Janeek BROWN,carrera 110 m con vallas,12102,1,Torneo de Indonesia
Janeek BROWN,carrera 110 m con vallas,13308,1,Torneo de Panama
Abderrahman SAMBA,carrera 400 m con vallas,46102,1,Torneo de Tuvalu
Abderrahman SAMBA,carrera 400 m con vallas,50676,1,Torneo de Antigua and Barbuda
Dezerea BRYANT,carrera 200 m,19532,1,Torneo de Cameroon
Dezerea BRYANT,carrera 200 m,21426,1,Torneo de Congo Republic of the
Dharun AYYASAMY,carrera 400 m con vallas,46102,1,Torneo de Malawi
Dharun AYYASAMY,carrera 400 m con vallas,50696,1,Torneo de South Africa
Ramil GULIYEV,carrera 200 m,19518,1,Torneo de Lithuania
Ramil GULIYEV,carrera 200 m,21412,1,Torneo de Latvia
Shakima WIMBLEY,carrera 400 m,43458,1,Torneo de Gabon
Shakima WIMBLEY,carrera 400 m,47781,1,Torneo de Chad
Gesa Felicitas KRAUSE,carrera 3000 m con vallas,481492,1,Torneo de Mauritius
Gesa Felicitas KRAUSE,carrera 3000 m con vallas,528951,1,Torneo de Indonesia
Anthony José ZAMBRANO,carrera 400 m,43573,1,Torneo de Brunei
Anthony José ZAMBRANO,carrera 400 m,47777,1,Torneo de Cuba
Julien WANDERS,carrera 21000 m,3483721,1,Torneo de Mauritania
Julien WANDERS,carrera 21000 m,3828808,1,Torneo de Denmark
Halimah NAKAAYI,carrera 800 m,101916,1,Torneo de Cambodia
Halimah NAKAAYI,carrera 800 m,112041,1,Torneo de Trinidad and Tobago
Amel TUKA,carrera 800 m,101946,1,Torneo de Guinea
Amel TUKA,carrera 800 m,112071,1,Torneo de Spain
Maruša MIŠMAŠ,carrera 3000 m con vallas,481151,1,Torneo de Libya
Maruša MIŠMAŠ,carrera 3000 m con vallas,529081,1,Torneo de Laos
William KINCAID,carrera 5000 m,772143,1,Torneo de Guyana
William KINCAID,carrera 5000 m,849211,1,Torneo de Lebanon
Zeineba YIMER,carrera 42000 m,7301146,1,Torneo de Ecuador
Zeineba YIMER,carrera 42000 m,8030030,1,Torneo de Azerbaijan
Senbere TEFERI,carrera 21000 m,3481418,1,Torneo de Gambia
Senbere TEFERI,carrera 21000 m,3828714,1,Torneo de Vatican City
Ruth CHEPNGETICH,carrera 21000 m,3482162,1,Torneo de Brunei
Ruth CHEPNGETICH,carrera 21000 m,3828690,1,Torneo de Uzbekistan
Dina ASHER-SMITH,carrera 100 m,9766,1,Torneo de Congo Democratic Republic of the
Dina ASHER-SMITH,carrera 100 m,10728,1,Torneo de Finland
Dibabe KUMA,carrera 21000 m,3481578,1,Torneo de Pakistan
Dibabe KUMA,carrera 21000 m,3825513,1,Torneo de Moldova
Natalya PRYSHCHEPA,carrera 800 m,101893,1,Torneo de Bhutan
Natalya PRYSHCHEPA,carrera 800 m,111904,1,Torneo de Tuvalu
Kibiwott KANDIE,carrera 21000 m,3485317,1,Torneo de Papua New Guinea
Kibiwott KANDIE,carrera 21000 m,3828626,1,Torneo de Rwanda
Devon ALLEN,carrera 110 m con vallas,12105,1,Torneo de Micronesia
Devon ALLEN,carrera 110 m con vallas,13304,1,Torneo de Timor-Leste
Shannon OSIKA,carrera 1500 m,208852,1,Torneo de Turkey
Shannon OSIKA,carrera 1500 m,229623,1,Torneo de Gabon
Justyna ŚWIĘTY-ERSETIC,carrera 400 m,43454,1,Torneo de Argentina
Justyna ŚWIĘTY-ERSETIC,carrera 400 m,47768,1,Torneo de South Sudan
Chloe ABBOTT,carrera 400 m,43484,1,Torneo de Libya
Chloe ABBOTT,carrera 400 m,47790,1,Torneo de Colombia
Zeineba YIMER,carrera 21000 m,3481062,1,Torneo de Indonesia
Zeineba YIMER,carrera 21000 m,3828790,1,Torneo de Samoa
Sara Slott PETERSEN,carrera 400 m con vallas,46122,1,Torneo de United States
Sara Slott PETERSEN,carrera 400 m con vallas,50701,1,Torneo de Kiribati
Berehanu TSEGU,carrera 21000 m,3481292,1,Torneo de Sri Lanka
Berehanu TSEGU,carrera 21000 m,3828021,1,Torneo de Finland
Tsehay GEMECHU,carrera 5000 m,772342,1,Torneo de Malawi
Tsehay GEMECHU,carrera 5000 m,849076,1,Torneo de Lebanon
Leonard Kipkemoi BETT,carrera 3000 m con vallas,481113,1,Torneo de Costa Rica
Leonard Kipkemoi BETT,carrera 3000 m con vallas,528870,1,Torneo de Namibia
Stephenie Ann MCPHERSON,carrera 400 m,43470,1,Torneo de Moldova
Stephenie Ann MCPHERSON,carrera 400 m,47765,1,Torneo de Somalia
Andre DE GRASSE,carrera 100 m,9767,1,Torneo de Ecuador
Andre DE GRASSE,carrera 100 m,10731,1,Torneo de United States
Jacob KROP,carrera 5000 m,772722,1,Torneo de Guyana
Jacob KROP,carrera 5000 m,848625,1,Torneo de Montenegro
Miguel FRANCIS,carrera 200 m,19507,1,Torneo de Tonga
Miguel FRANCIS,carrera 200 m,21438,1,Torneo de Mexico
Alison DOS SANTOS,carrera 400 m con vallas,46095,1,Torneo de Mexico
Alison DOS SANTOS,carrera 400 m con vallas,50689,1,Torneo de Wales
Yasemin CAN,carrera 10000 m,1608516,1,Torneo de Uruguay
Yasemin CAN,carrera 10000 m,1768095,1,Torneo de Mali
Sifan HASSAN,carrera 5000 m,772098,1,Torneo de Australia
Sifan HASSAN,carrera 5000 m,849167,1,Torneo de Panama
Emily Cherotich TUEI,carrera 800 m,101999,1,Torneo de Myanmar
Emily Cherotich TUEI,carrera 800 m,112070,1,Torneo de Bahamas
Stewart MCSWEYN,carrera 1500 m,208788,1,Torneo de Maldives
Stewart MCSWEYN,carrera 1500 m,229585,1,Torneo de San Marino
Gudaf TSEGAY,carrera 1500 m,208792,1,Torneo de Morocco
Gudaf TSEGAY,carrera 1500 m,229566,1,Torneo de Israel
Morris Munene GACHAGA,carrera 21000 m,3481732,1,Torneo de Japan
Morris Munene GACHAGA,carrera 21000 m,3827379,1,Torneo de Brazil
Shaunae MILLER-UIBO,carrera 400 m,43463,1,Torneo de Ghana
Shaunae MILLER-UIBO,carrera 400 m,47737,1,Torneo de Guinea-Bissau
Joseph Paul AMOAH,carrera 200 m,19519,1,Torneo de China
Joseph Paul AMOAH,carrera 200 m,21441,1,Torneo de Yemen
Timothy CHERUIYOT,carrera 800 m,101989,1,Torneo de Hungary
Timothy CHERUIYOT,carrera 800 m,111995,1,Torneo de Slovenia
Luiza GEGA,carrera 3000 m con vallas,481224,1,Torneo de Sierra Leone
Luiza GEGA,carrera 3000 m con vallas,528861,1,Torneo de South Sudan
Carina HORN,carrera 100 m,9764,1,Torneo de Canada
Carina HORN,carrera 100 m,10733,1,Torneo de Mauritius
Andrew HUDSON,carrera 200 m,19506,1,Torneo de Saudi Arabia
Andrew HUDSON,carrera 200 m,21433,1,Torneo de Liechtenstein
Agnes Jebet TIROP,carrera 5000 m,772162,1,Torneo de Maldives
Agnes Jebet TIROP,carrera 5000 m,849293,1,Torneo de Mongolia
Sharrika BARNETT,carrera 400 m,43452,1,Torneo de Brazil
Sharrika BARNETT,carrera 400 m,47776,1,Torneo de Laos
Rababe ARAFI,carrera 1500 m,208782,1,Torneo de San Marino
Rababe ARAFI,carrera 1500 m,229647,1,Torneo de Bhutan
Abraham KIBIWOT,carrera 3000 m con vallas,481060,1,Torneo de Marshall Islands
Abraham KIBIWOT,carrera 3000 m con vallas,528923,1,Torneo de Paraguay
Justin GATLIN,carrera 100 m,9766,1,Torneo de Liberia
Justin GATLIN,carrera 100 m,10736,1,Torneo de Gabon
Genzebe DIBABA,carrera 1500 m,208883,1,Torneo de Antigua and Barbuda
Genzebe DIBABA,carrera 1500 m,229523,1,Torneo de Zimbabwe
Gabriela DEBUES-STAFFORD,carrera 5000 m,773042,1,Torneo de Denmark
Gabriela DEBUES-STAFFORD,carrera 5000 m,848705,1,Torneo de Taiwan
Mohammed AHMED,carrera 5000 m,772524,1,Torneo de Kosovo
Mohammed AHMED,carrera 5000 m,847578,1,Torneo de Fiji
Lamecha GIRMA,carrera 3000 m con vallas,481078,1,Torneo de Mali
Lamecha GIRMA,carrera 3000 m con vallas,528818,1,Torneo de Morocco
Jakob INGEBRIGTSEN,carrera 5000 m,772184,1,Torneo de Argentina
Jakob INGEBRIGTSEN,carrera 5000 m,849290,1,Torneo de Colombia
Kendra HARRISON,carrera 110 m con vallas,12100,1,Torneo de Eritrea
Kendra HARRISON,carrera 110 m con vallas,13308,1,Torneo de New Zealand
Lopez LOMONG,carrera 10000 m,1608036,1,Torneo de Bhutan
Lopez LOMONG,carrera 10000 m,1768421,1,Torneo de Maldives
Rai BENJAMIN,carrera 400 m con vallas,46107,1,Torneo de Estonia
Rai BENJAMIN,carrera 400 m con vallas,50610,1,Torneo de United States
Roza DEREJE,carrera 42000 m,7304491,1,Torneo de Azerbaijan
Roza DEREJE,carrera 42000 m,8029156,1,Torneo de Gambia
Eliud KIPCHOGE,carrera 42000 m,7306906,1,Torneo de Albania
Eliud KIPCHOGE,carrera 42000 m,8027660,1,Torneo de Senegal
ShaCarri RICHARDSON,carrera 200 m,19501,1,Torneo de Tonga
ShaCarri RICHARDSON,carrera 200 m,21423,1,Torneo de Austria
Reuben Kiprop KIPYEGO,carrera 42000 m,7302147,1,Torneo de Tanzania
Reuben Kiprop KIPYEGO,carrera 42000 m,8030629,1,Torneo de Cambodia
Rosemary Monica WANJIRU,carrera 10000 m,1608863,1,Torneo de Philippines
Rosemary Monica WANJIRU,carrera 10000 m,1768687,1,Torneo de Thailand
Marcin LEWANDOWSKI,carrera 800 m,101921,1,Torneo de Zambia
Marcin LEWANDOWSKI,carrera 800 m,112033,1,Torneo de Bahamas
